"Race/Ethnicity","Sex","Department","Age","Hourly Rate","Regular/Temporary","Employee Status"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Department of Transportation","54","60.94","R","Active"
"Asian","Female","Seattle Public Utilities","50","37.50","R","Active"
"White","Male","Finance and Administrative Service","61","36.06","R","Active"
"Two or More Races","Female","Information Technology","32","63.26","R","Active"
"White","Female","Finance and Administrative Service","60","79.25","R","Leave with Pay"
"Two or More Races","Female","Seattle Public Library","62","37.56","R","Active"
"White","Male","Information Technology","51","82.03","R","Active"
"White","Female","Seattle Police Department","42","64.74","R","Active"
"Black or African American","Male","Seattle Department of Transportation","32","45.74","T","Active"
"Two or More Races","Female","Seattle Public Utilities","37","81.16","R","Active"
"White","Male","Seattle Fire Department","39","52.94","R","Active"
"Asian","Male","Office of Economic Development and Special Events Office","40","81.70","R","Active"
"White","Male","Seattle City Light","46","69.56","R","Active"
"White","Female","Seattle Fire Department","55","41.90","R","Active"
"White","Male","Parks and Recreation Department","55","62.90","R","Active"
"Two or More Races","Female","Parks and Recreation Department","61","42.96","R","Active"
"White","Male","Seattle Fire Department","43","49.48","R","Active"
"Black or African American","Female","Seattle City Light","59","40.61","R","Active"
"Black or African American","Male","Parks and Recreation Department","45","36.63","R","Active"
"White","Male","Seattle Fire Department","39","52.94","R","Active"
"White","Male","Seattle City Light","43","66.30","R","Active"
"White","Male","Seattle Police Department","50","53.24","R","Active"
"White","Female","Seattle Fire Department","34","49.48","R","Active"
"White","Male","Seattle Center","75","43.48","T","Active"
"White","Male","Seattle City Light","42","77.36","R","Active"
"White","Female","Seattle City Light","55","43.38","R","Active"
"White","Male","Seattle Police Department","49","106.77","R","Active"
"White","Female","Seattle Police Department","40","67.79","R","Active"
"Hispanic or Latino/a/x","Female","Legislative Department","55","80.09","R","Active"
"Not Specified","Female","Seattle City Light","65","40.00","R","Active"
"Asian","Male","Seattle Department of Transportation","30","57.98","R","Active"
"White","Male","Seattle Department of Transportation","44","40.12","R","Active"
"Hispanic or Latino/a/x","Male","Legislative Department","64","60.12","R","Active"
"Black or African American","Female","Education and Early Learning","51","53.27","R","Active"
"White","Female","Seattle Fire Department","24","35.61","R","Active"
"White","Female","Parks and Recreation Department","43","54.80","R","Active"
"White","Male","Finance and Administrative Service","66","31.34","R","Active"
"White","Male","Finance and Administrative Service","34","54.02","R","Active"
"White","Female","Seattle Public Library","33","34.48","R","Active"
"White","Male","Seattle Fire Department","39","64.34","R","Active"
"Asian","Male","Seattle Fire Department","40","49.48","R","Active"
"American Indian or Alaska Native","Male","Construction and Inspections","62","69.11","R","Active"
"White","Male","Seattle Department of Transportation","51","84.28","R","Active"
"Two or More Races","Male","Finance and Administrative Service","44","75.90","R","Active"
"Two or More Races","Male","Human Resources","59","83.64","R","Active"
"Asian","Female","Seattle Municipal Courts","44","65.60","T","Active"
"White","Female","Sustainability and Environment","38","63.26","R","Active"
"White","Male","Seattle Fire Department","56","69.71","R","Active"
"Asian","Female","Seattle City Light","64","56.79","R","Active"
"White","Male","Housing Office","35","51.29","R","Active"
"Black or African American","Female","Seattle Public Utilities","55","63.26","R","Active"
"Black or African American","Female","Parks and Recreation Department","32","25.00","T","Active"
"Black or African American","Female","Information Technology","60","63.26","R","Active"
"White","Female","Seattle Public Utilities","56","53.27","R","Active"
"White","Female","Seattle Municipal Courts","50","70.32","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","27","35.86","R","Active"
"Black or African American","Male","Seattle Department of Transportation","34","70.20","R","Active"
"White","Male","Community Safety and Communication Center","38","51.86","R","Active"
"White","Male","Seattle Police Department","26","50.29","R","Active"
"White","Male","Seattle Police Department","53","69.74","R","Active"
"Black or African American","Female","Information Technology","53","71.46","R","Active"
"Not Specified","Male","Construction and Inspections","22","39.12","T","Active"
"White","Male","Seattle Department of Transportation","46","36.63","R","Active"
"Black or African American","Male","Parks and Recreation Department","25","36.63","R","Active"
"Two or More Races","Male","Parks and Recreation Department","28","33.61","R","Active"
"Asian","Female","Seattle City Light","47","70.20","R","Active"
"White","Male","Finance and Administrative Service","60","55.25","R","Active"
"White","Male","Seattle City Light","35","77.36","R","Active"
"White","Female","Finance and Administrative Service","33","79.08","R","Active"
"Asian","Male","Information Technology","45","76.92","R","Active"
"White","Male","Information Technology","51","81.51","R","Active"
"White","Female","Seattle Public Utilities","69","76.76","R","Active"
"White","Male","Seattle Police Department","50","77.63","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","58","65.48","R","Active"
"White","Male","Law Department","36","76.94","R","Active"
"Asian","Female","Seattle Public Utilities","34","70.62","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","47","76.78","R","Active"
"White","Male","Law Department","55","54.40","R","Active"
"Asian","Female","Seattle City Light","45","63.26","R","Active"
"White","Male","Seattle Fire Department","47","58.61","R","Active"
"Asian","Female","Seattle Department of Transportation","52","76.46","R","Active"
"Not Specified","Male","Seattle City Light","46","77.36","R","Active"
"White","Female","Seattle Public Library","48","52.57","R","Leave with Pay"
"White","Female","Seattle Fire Department","48","60.15","R","Active"
"White","Male","Law Department","62","106.05","R","Active"
"White","Male","Seattle Police Department","48","77.63","R","Active"
"Black or African American","Male","Seattle Police Department","52","141.71","R","Active"
"White","Male","Seattle City Light","40","88.87","R","Active"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Public Utilities","45","38.66","R","Active"
"Asian","Male","Seattle Public Utilities","44","54.39","R","Active"
"White","Male","Construction and Inspections","69","81.16","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","69","77.63","R","Leave with Pay"
"Asian","Female","Legislative Department","72","65.58","R","Active"
"White","Female","Seattle Public Library","36","77.07","R","Active"
"White","Female","Parks and Recreation Department","24","38.55","R","Active"
"White","Female","Seattle Public Library","48","52.57","R","Leave with Pay"
"Black or African American","Female","Parks and Recreation Department","46","51.29","R","Active"
"White","Female","Human Services","62","70.83","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","42","60.23","R","Active"
"White","Male","Seattle Fire Department","31","52.94","R","Active"
"White","Male","Seattle City Light","33","77.36","R","Active"
"Black or African American","Female","Education and Early Learning","43","42.67","R","Active"
"Asian","Male","City Budget Office","34","66.88","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","64","72.26","R","Active"
"White","Male","Construction and Inspections","61","67.16","R","Active"
"Two or More Races","Male","Seattle Police Department","30","57.11","R","Active"
"White","Male","Seattle Fire Department","48","68.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","54","61.52","R","Active"
"Hispanic or Latino/a/x","Female","Housing Office","27","45.74","R","Active"
"Asian","Male","Parks and Recreation Department","53","40.75","R","Active"
"Two or More Races","Male","Finance and Administrative Service","25","45.65","R","Active"
"Asian","Female","City Budget Office","34","67.22","R","Active"
"Not Specified","Male","Seattle City Light","38","77.36","R","Active"
"White","Male","Seattle Public Utilities","41","29.23","R","Active"
"White","Female","Legislative Department","59","65.67","R","Active"
"White","Female","Seattle Police Department","38","34.81","R","Active"
"White","Male","Seattle Department of Transportation","53","60.23","R","Active"
"White","Female","Seattle Department of Transportation","44","90.85","R","Active"
"Two or More Races","Male","Seattle Public Library","39","32.71","R","Active"
"White","Male","Seattle Fire Department","43","68.40","R","Active"
"White","Male","Seattle Department of Transportation","41","84.28","R","Active"
"White","Male","Seattle Public Library","53","70.95","R","Active"
"Two or More Races","Female","Seattle Police Department","34","67.46","R","Active"
"White","Male","Seattle City Light","42","87.02","R","Active"
"Two or More Races","Male","Seattle Center","35","36.63","R","Leave Of Absence"
"Native Hawaiian or Other Pacific Islander","Female","Seattle Police Department","49","44.82","R","Active"
"Black or African American","Male","Human Resources","36","101.16","R","Active"
"White","Male","Information Technology","64","63.71","R","Active"
"White","Male","Seattle Center","67","43.48","T","Active"
"White","Male","Seattle Police Department","59","81.15","R","Active"
"White","X","Parks and Recreation Department","33","30.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","37","46.99","R","Active"
"Two or More Races","Female","Mayor's Office","53","60.99","R","Active"
"White","Male","Seattle City Light","36","21.70","R","Active"
"White","Male","Seattle Police Department","49","67.46","R","Active"
"White","Male","Seattle Fire Department","44","52.94","R","Active"
"Asian","Male","Seattle Department of Transportation","67","69.61","R","Active"
"Asian","Male","Seattle City Light","42","46.63","R","Active"
"White","Male","Seattle Fire Department","35","51.96","R","Active"
"White","Male","Seattle Department of Transportation","55","40.40","R","Active"
"Two or More Races","Male","Parks and Recreation Department","47","35.77","R","Active"
"White","Male","Information Technology","47","62.31","R","Active"
"White","Male","Seattle City Light","58","77.36","R","Active"
"White","Female","Seattle Police Department","51","84.70","R","Active"
"White","Male","Parks and Recreation Department","57","59.50","R","Active"
"Asian","Male","Seattle Public Utilities","52","45.18","R","Active"
"Asian","Female","Seattle Public Utilities","58","44.29","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","57","64.49","R","Active"
"White","Male","Information Technology","66","74.89","R","Active"
"Black or African American","Female","Seattle City Light","63","66.38","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","56","43.41","R","Active"
"White","Male","Seattle Department of Transportation","39","69.63","R","Active"
"White","Male","Parks and Recreation Department","45","55.02","R","Active"
"White","Female","Community Safety and Communication Center","36","51.86","R","Leave with Pay"
"White","Female","Construction and Inspections","45","47.54","R","Active"
"Hispanic or Latino/a/x","Male","Community Safety and Communication Center","36","46.34","R","Active"
"White","Female","Law Department","52","88.23","R","Active"
"Asian","Female","Seattle Police Department","33","37.83","R","Active"
"White","Male","Human Resources","42","84.00","R","Active"
"White","Male","Construction and Inspections","56","89.15","R","Active"
"Asian","Female","Finance and Administrative Service","60","88.18","R","Active"
"White","Male","Seattle City Light","61","40.40","R","Active"
"White","Male","Seattle Fire Department","54","148.36","R","Active"
"Asian","Male","Information Technology","51","76.92","R","Active"
"Not Specified","Male","Seattle City Light","36","77.36","R","Active"
"Asian","Male","Information Technology","50","84.44","R","Active"
"White","Male","Seattle Police Department","43","77.63","R","Active"
"Asian","Female","Seattle Public Library","65","34.48","R","Active"
"White","Male","Seattle Police Department","41","62.17","R","Active"
"Asian","Male","Seattle City Light","48","91.55","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","63","63.26","R","Active"
"Hispanic or Latino/a/x","Female","Seattle City Light","46","64.05","R","Active"
"Black or African American","Male","Seattle Public Utilities","51","45.18","R","Active"
"White","Female","Mayor's Office","52","115.86","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Public Utilities","49","45.18","R","Active"
"White","Male","Seattle Public Utilities","45","84.28","R","Active"
"White","Male","Seattle Fire Department","46","52.94","R","Active"
"White","Male","Information Technology","39","71.89","R","Active"
"White","Male","Seattle Police Department","58","71.05","R","Active"
"American Indian or Alaska Native","Male","Parks and Recreation Department","34","36.63","R","Active"
"White","Female","Seattle Police Department","48","53.27","R","Active"
"Asian","Female","Seattle Public Library","37","46.39","R","Active"
"White","Male","Seattle Police Department","28","59.25","R","Active"
"Black or African American","Female","Seattle City Light","43","41.59","R","Leave with Pay"
"White","Female","Seattle Police Department","33","45.28","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","46","74.68","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Human Services","33","42.15","R","Active"
"White","Male","Seattle City Light","35","61.52","R","Active"
"Black or African American","Male","Seattle Department of Transportation","47","40.46","R","Active"
"White","Male","Seattle City Light","62","40.40","R","Active"
"White","Male","Parks and Recreation Department","65","63.54","R","Leave with Pay"
"White","Male","Seattle Public Utilities","44","53.27","R","Active"
"Asian","Male","Seattle City Light","39","71.69","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Parks and Recreation Department","40","36.63","R","Active"
"White","Male","Seattle Police Department","39","67.46","R","Active"
"White","Male","Seattle Fire Department","46","51.96","R","Active"
"White","Male","Law Department","55","102.69","R","Active"
"White","Male","Seattle City Light","44","77.36","R","Active"
"Asian","Male","Seattle Fire Department","56","49.48","R","Active"
"White","Female","Seattle City Light","37","63.26","R","Active"
"Asian","Male","Seattle Department of Transportation","59","48.98","R","Active"
"Asian","Female","Education and Early Learning","47","54.28","R","Active"
"Two or More Races","Male","Legislative Department","31","57.53","R","Active"
"Asian","Male","Seattle City Light","42","77.36","R","Active"
"White","Male","Seattle Police Department","49","57.11","R","Active"
"White","Male","Seattle Police Department","54","66.16","R","Active"
"Two or More Races","Female","Human Services","61","37.82","R","Active"
"Black or African American","Female","Human Services","79","36.92","R","Active"
"Asian","Female","Seattle Municipal Courts","27","39.87","T","Active"
"Asian","Male","Finance and Administrative Service","42","52.08","R","Active"
"White","Female","Human Services","51","21.70","R","Active"
"White","Male","Seattle City Light","40","72.26","R","Active"
"White","Male","Seattle Public Utilities","63","54.22","R","Active"
"White","Male","Seattle Department of Transportation","49","84.28","R","Active"
"White","Female","Information Technology","66","81.13","R","Active"
"White","Female","Seattle Public Utilities","45","47.44","R","Leave with Pay"
"Hispanic or Latino/a/x","Female","Seattle Municipal Courts","35","38.27","R","Active"
"Black or African American","Female","Office of Arts and Culture","64","53.27","R","Leave with Pay"
"White","Female","Hearing Examiner","56","93.58","R","Active"
"Asian","Female","Information Technology","54","71.84","R","Active"
"White","Female","Seattle Police Department","50","66.20","R","Active"
"Asian","Male","Seattle Public Utilities","58","70.20","R","Active"
"White","Female","Seattle Police Department","51","78.00","R","Active"
"White","Male","Seattle Department of Transportation","22","37.49","R","Active"
"White","Female","Seattle Police Department","42","46.63","R","Active"
"White","Male","Seattle Center","76","43.48","T","Active"
"White","Male","Seattle City Light","42","76.37","R","Active"
"White","Female","Human Services","55","48.67","R","Active"
"Asian","Male","Employees Retirement System","41","36.17","R","Active"
"White","Male","Seattle City Light","52","42.97","R","Active"
"Black or African American","Female","Seattle Public Utilities","38","77.93","R","Active"
"White","Female","Seattle Public Utilities","57","79.49","R","Active"
"Black or African American","Male","Seattle Department of Transportation","55","40.46","R","Active"
"White","Male","Finance and Administrative Service","60","56.36","R","Leave with Pay"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","53","82.16","R","Active"
"Not Specified","Male","Seattle Public Utilities","50","46.99","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Public Utilities","39","66.60","R","Active"
"White","Male","Seattle Fire Department","49","53.44","R","Active"
"Asian","Male","Parks and Recreation Department","26","35.72","R","Active"
"Black or African American","Male","Parks and Recreation Department","52","36.63","R","Active"
"White","Male","Seattle Public Utilities","56","60.71","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","33","67.46","R","Leave Of Absence"
"White","Male","Seattle City Light","36","39.20","R","Active"
"White","Male","Seattle Department of Transportation","38","58.48","R","Active"
"White","Male","Seattle Police Department","36","78.00","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","49","67.46","R","Active"
"White","Male","Seattle Department of Transportation","27","57.98","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Department of Transportation","46","37.49","R","Active"
"White","Male","Parks and Recreation Department","51","62.90","R","Active"
"Black or African American","Female","Finance and Administrative Service","60","60.71","R","Active"
"White","Female","Community Safety and Communication Center","44","60.21","R","Active"
"Asian","Male","Seattle Police Department","33","67.46","R","Active"
"White","Male","Seattle Public Library","58","50.33","R","Active"
"Black or African American","Male","Seattle Police Department","32","57.95","R","Active"
"White","Male","Seattle Police Department","28","62.17","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Municipal Courts","42","65.60","T","Active"
"White","Male","Construction and Inspections","40","67.16","R","Active"
"White","Male","Law Department","44","40.78","R","Active"
"Black or African American","Male","Construction and Inspections","68","64.19","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Public Library","29","43.43","R","Leave with Pay"
"Asian","Male","Seattle Municipal Courts","44","81.93","R","Active"
"Asian","Female","Seattle Public Utilities","69","81.14","R","Active"
"Asian","Male","Seattle Department of Transportation","26","63.13","R","Active"
"White","Female","Seattle Public Utilities","63","79.62","R","Active"
"White","Male","Construction and Inspections","48","59.54","R","Active"
"Asian","Female","Seattle Public Utilities","51","37.82","R","Active"
"Black or African American","Male","Construction and Inspections","58","69.80","R","Active"
"White","Male","Seattle Police Department","39","67.46","R","Active"
"Asian","Male","Seattle Public Utilities","59","45.18","R","Active"
"White","Male","Seattle Fire Department","57","58.63","R","Active"
"White","Female","Seattle Public Utilities","49","72.26","R","Active"
"White","Male","Seattle Police Department","39","66.20","R","Active"
"Asian","Female","Housing Office","61","60.71","R","Active"
"Asian","Male","Construction and Inspections","26","37.82","R","Active"
"White","Male","Seattle Municipal Courts","32","38.27","R","Active"
"Black or African American","Female","Neighborhoods","33","59.34","R","Active"
"White","Female","Parks and Recreation Department","62","60.71","R","Active"
"Black or African American","Female","Construction and Inspections","36","41.59","R","Active"
"White","Female","Finance and Administrative Service","63","49.46","R","Leave with Pay"
"White","Male","Seattle Department of Transportation","47","89.61","R","Active"
"Black or African American","Male","Parks and Recreation Department","54","36.63","R","Active"
"White","Female","Parks and Recreation Department","64","38.91","R","Active"
"White","Female","Seattle Center","72","43.48","T","Active"
"Black or African American","Male","Education and Early Learning","34","63.26","R","Active"
"White","Male","Seattle Center","41","43.48","T","Active"
"White","Male","Parks and Recreation Department","56","44.05","R","Active"
"Asian","Male","Finance and Administrative Service","35","36.17","R","Active"
"White","Male","Seattle Fire Department","29","44.53","R","Active"
"Black or African American","Male","Seattle Public Utilities","59","101.40","R","Active"
"Not Specified","Male","Law Department","56","88.43","R","Active"
"White","Male","Seattle Fire Department","59","58.61","R","Active"
"Not Specified","Male","Seattle Police Department","31","68.43","R","Active"
"Asian","Female","Seattle Public Utilities","31","47.54","R","Active"
"Hispanic or Latino/a/x","Male","Seattle City Light","43","72.26","R","Active"
"Asian","Female","Seattle Public Utilities","45","84.28","R","Active"
"White","Male","Seattle Fire Department","57","65.43","R","Active"
"White","Female","Seattle Police Department","28","67.46","R","Active"
"Not Specified","Female","Parks and Recreation Department","37","45.34","R","Active"
"White","Female","Human Services","39","42.67","R","Active"
"White","Male","Seattle City Light","60","40.61","R","Active"
"Black or African American","Male","Construction and Inspections","38","67.95","R","Active"
"American Indian or Alaska Native","Male","Seattle City Light","39","81.48","R","Active"
"Asian","Male","Seattle City Light","62","61.33","R","Active"
"Asian","Male","Information Technology","37","70.87","R","Leave with Pay"
"American Indian or Alaska Native","Male","Parks and Recreation Department","41","53.27","R","Active"
"Asian","Female","Finance and Administrative Service","50","41.59","R","Active"
"Asian","Female","Seattle Public Utilities","73","39.87","R","Active"
"White","Female","Community Safety and Communication Center","32","49.93","R","Active"
"White","Male","Civil Rights Office","40","56.75","R","Leave with Pay"
"White","Male","Planning and Community Office","60","67.82","R","Active"
"Hispanic or Latino/a/x","Female","Office of Labor Standards","41","55.32","R","Active"
"White","Male","Seattle Police Department","38","72.62","R","Leave Of Absence"
"White","Male","Information Technology","63","68.47","R","Active"
"Asian","Female","Seattle Public Utilities","56","53.27","R","Active"
"White","Male","Seattle Police Department","54","67.46","R","Active"
"Two or More Races","Female","Seattle Police Department","41","53.27","R","Active"
"Two or More Races","Male","Seattle Department of Transportation","58","67.91","R","Active"
"White","Male","Seattle Center","67","50.03","T","Retired"
"White","Female","Seattle Department of Transportation","67","37.20","T","Retired"
"Black or African American","Female","Seattle City Light","72","35.96","R","Retired"
"White","Male","Seattle City Light","34","21.70","R","Active"
"White","Male","Seattle City Light","69","77.36","T","Retired"
"Black or African American","Male","Human Services","51","66.77","R","Active"
"Black or African American","Female","Construction and Inspections","58","67.95","R","Active"
"White","Male","Seattle Fire Department","38","49.48","R","Active"
"White","Male","Seattle Fire Department","59","57.28","R","Active"
"Asian","Male","Seattle Public Utilities","68","47.51","R","Active"
"Native Hawaiian or Other Pacific Islander","Male","Seattle Fire Department","51","56.90","R","Active"
"Black or African American","Female","Parks and Recreation Department","58","55.02","R","Active"
"Asian","Male","Parks and Recreation Department","41","48.00","R","Active"
"Not Specified","Female","Information Technology","56","83.53","R","Active"
"White","Male","Seattle Department of Transportation","40","52.90","R","Active"
"Black or African American","Male","Parks and Recreation Department","27","30.54","R","Active"
"American Indian or Alaska Native","Female","Seattle Department of Transportation","68","36.17","R","Active"
"Asian","Male","Seattle Police Department","32","62.17","R","Active"
"Asian","Female","Seattle City Light","37","52.13","R","Active"
"Black or African American","Female","Parks and Recreation Department","25","25.98","T","Active"
"White","Male","Parks and Recreation Department","49","37.54","R","Active"
"White","Male","Seattle Center","65","30.86","T","Active"
"White","Male","Finance and Administrative Service","64","53.63","R","Leave with Pay"
"White","Male","Seattle Center","69","30.86","T","Active"
"White","Male","Seattle City Light","47","53.63","R","Active"
"Black or African American","Female","Seattle Municipal Courts","34","42.40","R","Active"
"White","Female","Seattle Fire Department","35","52.94","R","Active"
"Asian","Female","Parks and Recreation Department","28","32.77","R","Active"
"Asian","Female","Seattle Public Library","37","30.27","R","Leave with Pay"
"White","Male","Seattle Public Library","70","45.60","R","Leave with Pay"
"Black or African American","Male","Seattle Center","45","30.86","T","Active"
"Asian","Male","Parks and Recreation Department","48","36.63","R","Active"
"Asian","Male","Seattle City Light","41","99.63","R","Active"
"Black or African American","Female","Seattle City Light","44","39.05","R","Active"
"Asian","Female","Finance and Administrative Service","27","47.79","R","Active"
"Asian","Male","Seattle City Light","50","37.36","R","Active"
"White","Female","Seattle Center","52","27.16","T","Active"
"Asian","Male","Parks and Recreation Department","20","25.98","T","Active"
"Asian","Male","Seattle City Light","21","28.44","T","Active"
"White","Female","Parks and Recreation Department","18","25.98","T","Active"
"White","Male","Seattle Center","67","25.98","T","Active"
"White","Male","Parks and Recreation Department","26","25.98","T","Active"
"Asian","Male","Parks and Recreation Department","41","32.80","R","Active"
"White","Male","Finance and Administrative Service","68","53.63","R","Active"
"White","Male","Parks and Recreation Department","49","41.02","R","Active"
"Asian","Male","Parks and Recreation Department","68","33.13","R","Active"
"Hispanic or Latino/a/x","Male","Seattle Police Department","64","66.16","R","Active"
"White","Female","Seattle Department of Transportation","56","89.61","R","Active"
"Asian","Female","Law Department","36","72.33","R","Active"
"Hispanic or Latino/a/x","Female","Seattle Police Department","47","65.67","R","Active"
"White","Male","Parks and Recreation Department","62","49.34","R","Active"
"Asian","Female","Seattle Department of Transportation","23","21.78","T","Active"
"Asian","Female","Human Services","56","55.13","R","Active"
"Not Specified","Female","Law Department","22","21.78","T","Active"
"Not Specified","Female","Parks and Recreation Department","57","25.98","T","Active"
"Asian","Female","Seattle Department of Transportation","47","67.91","R","Leave with Pay"
"Asian","Female","Seattle Public Utilities","62","33.42","R","Active"
"Two or More Races","Female","Seattle Police Department","24","41.36","R","Active"
"Asian","Male","Seattle City Light","70","50.10","R","Active"
"Two or More Races","Female","Seattle Public Utilities","47","56.48","R","Leave with Pay"
"White","Male","Planning and Community Office","39","63.26","R","Active"
"Asian","Female","Seattle Department of Transportation","50","60.99","R","Active"
"Not Specified","Male","Seattle Department of Transportation","55","46.99","R","Leave with Pay"
"Asian","Male","Seattle City Light","48","101.38","R","Active"
"Not Specified","Male","Seattle Department of Transportation","53","42.35","R","Active"
"White","Female","Community Safety and Communication Center","30","44.60","R","Active"
"Asian","Female","Seattle Public Library","32","29.85","R","Active"
"Not Specified","Male","Seattle Public Utilities","31","26.71","T","Active"
"White","Male","Seattle Fire Department","41","56.90","R","Active"
"White","Male","Information Technology","62","71.94","R","Active"
"White","Female","Seattle Public Utilities","70","39.87","R","Active"
"White","Male","Finance and Administrative Service","44","71.92","R","Leave with Pay"
"Asian","Male","Seattle City Light","32","68.89","R","Active"
"White","Female","Seattle Police Department","48","42.96","R","Leave with Pay"
"White","Male","Parks and Recreation Department","56","68.34","R","Active"
"White","Male","Seattle Police Department","32","66.48","R","Active"
"White","Male","Seattle City Light","54","42.97","R","Active"
"Two or More Races","Female","Seattle City Light","28","21.70","R","Active"
"White","Female","Seattle Public Utilities","50","49.46","R","Active"
"White","Female","Sustainability and Environment","42","72.80","R","Active"
"Black or African American","Male","Parks and Recreation Department","22","25.98","T","Active"
"White","Male","Seattle City Light","45","87.02","R","Active"
